iter	Passed	Remaining
553	942	758
554	944	756
555	945	755
556	946	753
557	948	751
558	949	749
559	950	746
560	952	744
561	953	743
562	955	741
563	956	739
564	958	737
565	959	735
566	961	733
567	962	732
568	964	730
569	964	727
570	966	725
571	967	724
572	969	722
573	970	720
574	972	718
575	973	716
576	974	714
577	976	712
578	977	710
579	978	708
580	980	707
581	982	705
582	983	703
583	985	701
584	986	700
585	988	698
586	990	696
587	992	695
588	994	693
589	995	691
590	997	689
591	998	688
592	1000	686
593	1001	684
594	1003	682
595	1004	681
596	1006	679
597	1008	677
598	1009	675
599	1011	674
600	1012	672
601	1014	670
602	1016	668
603	1017	667
604	1019	665
605	1020	663
606	1021	661
607	1023	659
608	1025	658
609	1027	656
610	1028	654
611	1030	653
612	1031	651
613	1033	649
614	1034	647
615	1036	645
616	1037	644
617	1039	642
618	1040	640
619	1042	638
620	1043	636
621	1045	635
622	1046	633
623	1048	631
624	1049	629
625	1051	628
626	1052	626
627	1054	624
628	1055	622
629	1056	620
630	1058	618
631	1059	616
632	1061	615
633	1062	613
634	1063	611
635	1065	609
636	1066	608
637	1068	606
638	1070	604
639	1071	602
640	1073	601
641	1075	599
642	1076	597
643	1078	596
644	1080	594
645	1081	592
646	1083	591
647	1084	589
648	1086	587
649	1087	585
650	1089	584
651	1091	582
652	1092	580
653	1094	578
654	1095	577
655	1097	575
656	1098	573
657	1099	571
658	1101	569
659	1102	568
660	1104	566
661	1105	564
662	1107	563
663	1109	561
664	1110	559
665	1112	557
666	1113	556
667	1115	554
668	1117	552
669	1118	551
670	1120	549
671	1121	547
672	1123	545
673	1125	544
674	1127	542
675	1129	541
676	1130	539
677	1132	537
678	1133	535
679	1135	534
680	1136	532
681	1138	530
682	1139	529
683	1141	527
684	1143	525
685	1144	523
686	1146	522
687	1147	520
688	1149	518
689	1150	516
690	1151	515
691	1153	513
692	1155	511
693	1156	510
694	1158	508
695	1159	506
696	1161	504
697	1162	503
698	1164	501
699	1165	499
700	1166	497
701	1168	495
702	1169	494
703	1171	492
704	1173	490
705	1175	489
706	1176	487
707	1178	486
708	1179	484
709	1181	482
710	1183	480
711	1184	479
712	1186	477
713	1188	476
714	1190	474
715	1191	472
716	1193	470
717	1194	469
718	1196	467
719	1197	465
720	1199	464
721	1200	462
722	1202	460
723	1203	458
724	1205	457
725	1207	455
726	1209	454
727	1210	452
728	1212	450
729	1213	448
730	1215	447
731	1217	445
732	1218	443
733	1220	442
734	1222	440
735	1224	439
736	1225	437
737	1227	435
738	1228	433
739	1229	432
740	1231	430
741	1232	428
742	1234	426
743	1235	425
744	1237	423
745	1239	421
746	1240	420
747	1242	418
748	1244	416
749	1245	415
750	1247	413
751	1250	412
752	1251	410
753	1253	409
754	1255	407
755	1256	405
756	1258	403
757	1259	402
758	1261	400
759	1263	398
760	1264	397
761	1266	395
762	1268	394
763	1269	392
764	1271	390
765	1274	389
766	1275	387
767	1277	385
768	1278	384
769	1280	382
770	1282	380
771	1283	379
772	1286	377
773	1288	376
774	1291	374
775	1293	373
776	1295	371
777	1297	370
778	1299	368
779	1301	367
780	1303	365
781	1305	363
782	1307	362
783	1309	360
784	1311	359
785	1312	357
786	1314	355
787	1316	354
788	1317	352
789	1319	350
790	1321	349
791	1324	347
792	1327	346
793	1328	344
794	1330	343
795	1332	341
796	1334	339
797	1336	338
798	1337	336
799	1339	334
800	1341	333
801	1342	331
802	1344	329
803	1347	328
804	1349	326
805	1350	325
806	1352	323
807	1354	321
808	1355	320
809	1357	318
810	1358	316
811	1359	314
812	1361	313
813	1362	311
814	1364	309
815	1366	308
816	1367	306
817	1369	304
818	1371	303
819	1373	301
820	1374	299
821	1376	298
822	1378	296
823	1380	294
824	1383	293
825	1384	291
826	1386	290
827	1388	288
828	1389	286
829	1393	285
830	1395	283
831	1397	282
832	1398	280
833	1399	278
834	1401	276
835	1402	275
836	1404	273
837	1407	272
838	1408	270
839	1410	268
840	1412	267
841	1413	265
842	1415	263
843	1417	261
844	1418	260
845	1420	258
846	1421	256
847	1424	255
848	1426	253
849	1427	251
850	1429	250
851	1431	248
852	1433	246
853	1434	245
854	1436	243
855	1437	241
856	1439	240
857	1440	238
858	1442	236
859	1444	235
860	1446	233
861	1447	231
862	1449	230
863	1450	228
864	1452	226
865	1453	224
866	1455	223
867	1456	221
868	1458	219
869	1460	218
870	1461	216
871	1463	214
872	1464	213
873	1466	211
874	1467	209
875	1468	207
876	1470	206
877	1471	204
878	1473	202
879	1475	201
880	1476	199
881	1478	197
882	1479	196
883	1480	194
884	1482	192
885	1483	190
886	1484	189
887	1486	187
888	1487	185
889	1488	183
890	1489	182
891	1490	180
892	1492	178
893	1493	177
894	1495	175
895	1496	173
896	1497	171
897	1499	170
898	1500	168
899	1501	166
900	1503	165
901	1504	163
902	1506	161
903	1507	160
904	1509	158
905	1510	156
906	1511	155
907	1513	153
908	1514	151
909	1516	149
910	1517	148
911	1518	146
912	1520	144
913	1521	143
914	1523	141
915	1524	139
916	1525	138
917	1527	136
918	1528	134
919	1530	133
920	1531	131
921	1533	129
922	1534	128
923	1536	126
924	1537	124
925	1539	122
926	1540	121
927	1542	119
928	1543	117
929	1544	116
930	1545	114
931	1547	112
932	1548	111
933	1550	109
934	1551	107
935	1553	106
936	1554	104
937	1555	102
938	1557	101
939	1558	99
940	1559	97
941	1561	96
942	1562	94
943	1564	92
944	1565	91
945	1566	89
946	1568	87
947	1569	86
948	1570	84
949	1572	82
950	1573	81
951	1574	79
952	1576	77
953	1577	76
954	1578	74
955	1580	72
956	1581	71
957	1583	69
958	1584	67
959	1585	66
960	1587	64
961	1588	62
962	1589	61
963	1591	59
964	1592	57
965	1593	56
966	1595	54
967	1596	52
968	1598	51
969	1599	49
970	1601	47
971	1602	46
972	1603	44
973	1605	42
974	1606	41
975	1607	39
976	1609	37
977	1610	36
978	1611	34
979	1613	32
980	1614	31
981	1616	29
982	1617	27
983	1619	26
984	1620	24
985	1621	23
986	1623	21
987	1624	19
988	1626	18
989	1627	16
990	1628	14
991	1630	13
992	1631	11
993	1633	9
994	1634	8
995	1636	6
996	1637	4
997	1638	3
998	1640	1
999	1641	0
